page_num,title,initiative_url,topic,type_of_act,feedback_period,end_year,feedback_label,feedback_count,feedback_page_url,group
43,Erasmus+ 2021-27 interim evaluation & Erasmus+ 2014-20 final evaluation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation_en,Education and training,Report,28 July 2022 - 12 September 2022,2022,All feedback and statistics (195) >,195,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13454-Erasmus%2B-2021-27-interim-evaluation-Erasmus%2B-2014-20-final-evaluation_en/feedback?p_id=16141,pre2022
44,Waste from electrical and electronic equipment – evaluating the EU rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules_en,Environment,Staff working document,06 October 2022 - 03 November 2022,2022,All feedback and statistics (106) >,106,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13420-Waste-from-electrical-and-electronic-equipment-evaluating-the-EU-rules_en/feedback?p_id=16329,pre2022
6,State aid rules for banks in difficulty - evaluation,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13324-State-aid-rules-for-banks-in-difficulty-evaluation_en,Competition,Staff working document,17 March 2022 - 15 July 2022,2022,All feedback and statistics (36) >,36,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13324-State-aid-rules-for-banks-in-difficulty-evaluation_en/feedback?p_id=15734,pre2022
30,Protecting children from unsafe toys and strengthening the Single Market – revision of the Toy Safety Directive,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13164-Protecting-children-from-unsafe-toys-and-strengthening-the-Single-Market-revision-of-the-Toy-Safety-Directive_en,Single market,Communication concerning the position of the Council,05 October 2021 - 02 November 2021,2021,All feedback and statistics (33) >,33,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13164-Protecting-children-from-unsafe-toys-and-strengthening-the-Single-Market-revision-of-the-Toy-Safety-Directive_en/feedback?p_id=15137,pre2022
12,Energy efficiency – ecodesign requirements for space and combination heaters (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13202-Energy-efficiency-ecodesign-requirements-for-space-and-combination-heaters-review-_en,Energy,Regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (28) >,28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13202-Energy-efficiency-ecodesign-requirements-for-space-and-combination-heaters-review-_en/feedback?p_id=15689,pre2022
12,Energy efficiency – labelling requirements for space and combination heaters (review/rescaling),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13201-Energy-efficiency-labelling-requirements-for-space-and-combination-heaters-review-rescaling-_en,Energy,Delegated regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (28) >,28,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13201-Energy-efficiency-labelling-requirements-for-space-and-combination-heaters-review-rescaling-_en/feedback?p_id=15689,pre2022
12,Energy efficiency – labelling requirements for water heaters and tanks (review/rescaling),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13204-Energy-efficiency-labelling-requirements-for-water-heaters-and-tanks-review-rescaling-_en,Energy,Delegated regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (24) >,24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13204-Energy-efficiency-labelling-requirements-for-water-heaters-and-tanks-review-rescaling-_en/feedback?p_id=15688,pre2022
12,Energy efficiency – ecodesign requirements for water heaters and tanks (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13205-Energy-efficiency-ecodesign-requirements-for-water-heaters-and-tanks-review-_en,Energy,Regulation,03 March 2022 - 01 April 2022,2022,All feedback and statistics (24) >,24,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13205-Energy-efficiency-ecodesign-requirements-for-water-heaters-and-tanks-review-_en/feedback?p_id=15688,pre2022
30,External power supplies – ecodesign & information requirements (review),https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13351-External-power-supplies-ecodesign-information-requirements-review-_en,Energy,Regulation,06 April 2022 - 04 May 2022,2022,All feedback and statistics (16) >,16,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13351-External-power-supplies-ecodesign-information-requirements-review-_en/feedback?p_id=15811,pre2022
20,Detergents – streamlining and updating the EU rules,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13116-Detergents-streamlining-and-updating-the-EU-rules_en,Single market,Communication concerning the position of the Council,21 September 2021 - 19 October 2021,2021,All feedback and statistics (15) >,15,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/13116-Detergents-streamlining-and-updating-the-EU-rules_en/feedback?p_id=15076,pre2022
